ts,decision,label,buy_prob,alpha,tradeable,is_flat,ticks,neutral_prob,aux_label_short,atr_1t,cvd_divergence,ema_21,ema_50,ema_8,last_price,last_zscore,mean_drift_pct,micro_imbalance,micro_slope,rv_10,struct_fvg_down_present,struct_fvg_up_present,struct_ob_bear_present,struct_ob_bull_present,struct_pivot_swipe_down,struct_pivot_swipe_up,ta_bb_bw,ta_bb_pctb,ta_macd_hist,ta_rsi14,tod_cos,tod_sin,vwap_reversion_flag,wick_extreme_down,wick_extreme_up
2025-10-29 08:05:00,TRAINLOG,BUY,0.5,0.0,True,False,0,,,14.439257812499948,0.0,26062.83167209062,26040.989833301715,26073.107304426434,26067.15,0.9884451449195424,1.215572621392491e-05,0.0,0.0,0.00037616517723677845,0.0,0.0,0.0,0.0,0.0,0.0,0.0021874530676707087,0.5677924924352743,-0.871804702068502,53.42634386540932,-0.48098876891938747,0.8767267557075078,0.0,0.0,0.0
2025-10-29 08:10:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,15.571344866071481,0.0,26065.274247355108,26042.900035917333,26076.79457010945,26089.7,1.6204236589850565,6.413268684374307e-05,0.0,0.0,0.0004477127830757039,0.0,0.0,0.0,0.0,0.0,0.0,0.0021087427598230546,0.9303068546713884,-0.1651958090792398,64.75803472478842,-0.4999999999999998,0.8660254037844387,0.0,0.0,0.0
2025-10-29 08:15:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,14.999888392857299,0.0,26067.944770322825,26044.929446273516,26080.76244341846,26094.65,1.6835323710938914,5.472384055916768e-05,0.0,0.0,0.0004439701491668143,0.0,1.0,0.0,0.0,0.0,0.0,0.0019999425964856705,0.9906338088014494,0.48685628941858283,61.76352705410944,-0.5187732581605212,0.8549118706729467,0.0,0.0,0.0
2025-10-29 08:20:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,15.507059151785663,0.0,26068.313427566205,26045.991036615735,26078.815233769914,26072.0,0.9578652815552199,1.2828232231587578e-06,0.0,0.0,0.0005141168052225664,0.0,0.0,0.0,0.0,0.0,1.0,0.0018221100604035093,0.533892510712343,-0.6919455677244635,55.411722402013424,-0.5372996083468236,0.8433914458128858,0.0,0.0,0.0
2025-10-29 08:25:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,15.796344866071324,0.0,26068.462206878365,26046.930603807272,26076.845181821045,26069.95,0.8734729932098414,-1.4826507627807573e-05,0.0,0.0,0.0005138444381067966,1.0,0.0,0.0,0.0,0.0,0.0,0.001766413816596109,0.4770912056478132,-1.6402755149444523,52.21932114882536,-0.5555702330196023,0.8314696123025451,0.0,0.0,0.0
2025-10-29 08:30:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,15.235574776785663,0.0,26069.179278980333,26048.08430561875,26076.735141416368,26076.35,1.057765270996586,6.78270223424815e-05,0.0,0.0,0.0004815819294357705,0.0,0.0,0.0,0.0,0.0,0.0,0.0016778443848012446,0.5974970765007066,-1.8514393321803748,51.274248763787995,-0.5735764363510458,0.819152044288992,0.0,0.0,0.0
2025-10-29 08:35:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,15.849888392856883,0.0,26068.381162709393,26048.56727402586,26073.10510999051,26060.4,0.4933288893169687,-6.43330781475604e-05,0.0,0.0,0.00046839673775931777,0.0,0.0,0.0,0.0,0.0,0.0,0.0016637231622894403,0.22877246767765752,-3.0115971257751184,42.857142857142485,-0.5913096483635821,0.8064446042674828,0.0,0.0,0.0
2025-10-29 08:40:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,16.33203124999974,0.0,26066.346511553995,26048.46659661308,26067.08175221484,26046.0,-0.07081914495973184,-0.0001312853699969363,0.0,0.0,0.00048524525691612675,1.0,0.0,0.0,0.0,0.0,0.0,0.0017267281320708452,-0.07703135963921862,-4.599967152117841,41.18050789293004,-0.6087614290087207,0.7933533402912352,0.0,0.0,0.0
2025-10-29 08:45:00,TRAINLOG,BUY,0.5,0.0,True,False,0,,,16.735602678571272,0.0,26064.13773777636,26048.21496537335,26061.51914061154,26042.05,-0.2815366510251105,-0.0001556532122365173,0.0,0.0,0.00047950387554300273,1.0,0.0,0.0,0.0,1.0,0.0,0.001987903026243783,-0.0550275945189852,-5.696088486145323,39.22033898305082,-0.6259234721840591,0.7798844830928818,0.0,0.0,0.0
2025-10-29 08:50:00,TRAINLOG,BUY,0.5,0.0,True,False,0,,,16.360602678571272,0.0,26063.111579796692,26048.396731437144,26059.59266492009,26052.85,0.1127574826566209,-0.00010152973404640165,0.0,0.0,0.0005093541108871936,0.0,0.0,0.0,0.0,0.0,0.0,0.0020259410815743374,0.16374793704271845,-5.471924305522244,47.956688787983836,-0.6427876096865394,0.766044443118978,0.0,0.0,0.0
2025-10-29 08:55:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,16.949888392857247,0.0,26064.765072542446,26049.68705569451,26064.41651716007,26081.3,1.2898505243707163,5.445167765570913e-05,0.0,0.0,0.0006034482192771072,0.0,0.0,0.0,0.0,0.0,0.0,0.0020419663079483032,0.6845518422617073,-3.2931284105258394,51.33899412148876,-0.6593458151000688,0.7518398074789774,0.0,0.0,0.0
2025-10-29 09:00:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,18.589229910714494,0.0,26063.454611402223,26049.71305351041,26061.290624457833,26050.35,-0.1182633482269447,-0.00015072306742851537,0.0,0.0,0.0006406103314849781,0.0,0.0,0.0,0.0,0.0,0.0,0.002159244637696979,0.144844521615654,-3.7866868305665102,41.740331491712304,-0.6755902076156602,0.7372773368101241,0.0,0.0,0.0
2025-10-29 09:05:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,18.76777343750005,0.0,26063.12691945657,26050.11058082373,26060.970485689424,26059.85,0.2844603216326106,-0.0001332282319374878,0.0,0.0,0.0006519574853270819,0.0,0.0,0.0,0.0,0.0,0.0,0.002156008381371909,0.33160059459503605,-3.3392968885354106,43.93939393939312,-0.6915130557822693,0.7223639620597556,0.0,0.0,0.0
2025-10-29 09:10:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,18.68920200892847,0.0,26062.433563142335,26050.32193059535,26059.754822202885,26055.5,0.01626991832446523,-6.312117526481309e-05,0.0,0.0,0.0006051933778301922,0.0,0.0,0.0,0.0,0.0,0.0,0.002202542780394279,0.2734991279585409,-3.20185537319696,43.6954797779542,-0.7071067811865475,0.7071067811865476,0.0,0.0,0.0
